* Measurement data measured by REW V5.20.13
* Source: In 1-2 (MOTU M Series), LINE_IN (Ö÷Òô), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: 2026-8-4 10:33:04
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: °ËÔÂ 4
* Smoothing: 1/24 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 36.438 125.9511
0.732422 37.585 48.5893
1.098633 45.901 -32.1574
1.464844 52.034 -50.7091
1.831055 56.253 -80.4650
2.197266 59.321 -99.9515
2.563477 61.536 -120.0763
2.929688 63.080 -138.2653
3.295899 64.108 -152.3840
3.662110 64.821 -164.6720
4.028321 65.490 -172.2104
4.394532 66.363 -178.4393
4.760743 67.483 176.3694
5.126954 68.688 170.0930
5.493164 69.808 163.3214
5.859375 70.793 156.6133
6.225586 71.708 150.4402
6.591797 72.638 144.6520
6.958008 73.584 138.4390
7.324219 74.437 131.3560
7.690430 75.046 123.4991
8.056641 75.298 115.8007
8.422852 75.168 109.7066
8.789063 74.800 107.0000
9.155274 74.585 108.4756
9.521485 74.998 112.1386
9.887696 76.033 114.2706
10.253907 77.219 112.8336
10.620118 78.169 108.5374
10.986329 78.753 103.1453
11.352540 78.998 98.2105
11.718751 79.030 94.7383
12.084962 79.029 92.9820
12.451173 79.145 92.3723
12.817384 79.423 91.9207
13.183595 79.791 90.8770
13.549806 80.148 89.0696
13.916017 80.428 86.7483
14.282228 80.611 84.2714
14.648439 80.705 81.9293
15.014650 80.734 79.9101
15.380861 80.730 78.3058
15.747072 80.727 77.0966
16.113283 80.753 76.1335
16.479493 80.812 75.1890
16.845704 80.884 74.0888
17.211915 80.933 72.8408
17.578126 80.938 71.6537
17.944337 80.911 70.8146
18.310548 80.898 70.4844
18.676759 80.957 70.5439
19.042970 81.118 70.6170
19.409181 81.363 70.2770
19.775392 81.633 69.2818
20.141603 81.867 67.6695
20.507814 82.023 65.6881
20.874025 82.092 63.6529
21.240236 82.087 61.8177
21.606447 82.035 60.3038
21.972658 81.957 59.1027
22.338869 81.862 58.1514
22.705080 81.745 57.4399
23.071291 81.603 57.0734
23.437502 81.455 57.2168
23.803713 81.349 57.9259
24.169924 81.344 58.9823
24.536135 81.464 59.9076
24.902346 81.675 60.2016
25.268557 81.898 59.6332
25.634768 82.062 58.3535
26.000979 82.136 56.7643
26.367190 82.134 55.2586
26.733401 82.102 54.0053
27.099612 82.075 52.9092
27.465823 82.058 51.7701
27.832033 82.024 50.5190
28.198244 81.946 49.3403
28.564455 81.833 48.5637
28.930666 81.738 48.3876
29.296877 81.729 48.6547
29.663088 81.835 48.8929
30.029299 82.014 48.6260
30.395510 82.183 47.7065
30.761721 82.274 46.4056
31.127932 82.270 45.2145
31.494143 82.208 44.5226
31.860354 82.147 44.3947
32.226565 82.130 44.5909
32.592776 82.157 44.7916
32.958987 82.196 44.8386
33.325198 82.219 44.7910
33.691409 82.225 44.7810
34.057620 82.233 44.8347
34.423831 82.254 44.8366
34.790042 82.276 44.6599
35.156253 82.276 44.3175
35.522464 82.249 43.9640
35.888675 82.216 43.7315
36.254886 82.211 43.5515
36.621097 82.246 43.1572
36.987308 82.289 42.2991
37.353519 82.280 41.0071
37.719730 82.178 39.6673
38.085941 81.993 38.8189
38.452152 81.792 38.7889
38.818363 81.667 39.4378
39.184573 81.664 40.2402
39.550784 81.748 40.6678
39.916995 81.833 40.5699
40.283206 81.856 40.2486
40.649417 81.814 40.1895
41.015628 81.761 40.6768
41.381839 81.766 41.5797
41.748050 81.858 42.4432
42.114261 82.005 42.7883
42.480472 82.133 42.3916
42.846683 82.174 41.3807
43.212894 82.089 40.1491
43.579105 81.878 39.1913
43.945316 81.578 38.9259
44.311527 81.267 39.5258
44.677738 81.044 40.7930
45.043949 80.986 42.1711
45.410160 81.098 42.9479
45.776371 81.305 42.5693
46.142582 81.501 40.8783
46.508793 81.601 38.1526
46.875004 81.561 34.9674
47.241215 81.378 32.0008
47.607426 81.083 29.8735
47.973637 80.746 29.0267
48.339848 80.473 29.6071
48.706059 80.388 31.3720
49.072270 80.575 33.7047
49.438481 81.018 35.8091
49.804692 81.605 37.0226
50.170902 82.209 37.0542
50.537113 82.738 36.0004
50.903324 83.148 34.1660
51.269535 83.420 31.8686
51.635746 83.535 29.3885
52.001957 83.470 27.0911
52.368168 83.208 25.5798
52.734379 82.767 25.6495
53.100590 82.243 27.9072
53.466801 81.833 32.2313
53.833012 81.746 37.5427
54.199223 82.017 42.2381
54.565434 82.463 45.0609
54.931645 82.866 45.7281
55.297856 83.113 44.8521
55.664067 83.203 43.3160
56.030278 83.199 41.6461
56.396489 83.162 39.8034
56.762700 83.103 37.4556
57.128911 82.973 34.4627
57.495122 82.703 31.2014
57.861333 82.255 28.4843
58.227544 81.659 27.1127
58.593755 81.026 27.3608
58.959966 80.511 28.7769
59.326177 80.219 30.4872
59.692388 80.126 31.7911
60.058599 80.128 32.5782
60.424810 80.158 33.2488
60.791021 80.229 34.2521
61.157232 80.401 35.6515
61.523442 80.701 37.0562
61.889653 81.079 37.9285
62.255864 81.446 37.9856
62.622075 81.728 37.3840
62.988286 81.908 36.5847
63.354497 82.019 36.0368
63.720708 82.120 35.9058
64.086919 82.262 36.0055
64.453130 82.452 35.9423
64.819341 82.653 35.3622
65.185552 82.808 34.1487
65.551763 82.871 32.4756
65.917974 82.824 30.7117
66.284185 82.681 29.2459
66.650396 82.484 28.3185
67.016607 82.289 27.9277
67.382818 82.146 27.8488
67.749029 82.072 27.7546
68.115240 82.046 27.3784
68.481451 82.025 26.6418
68.847662 81.969 25.6869
69.213873 81.858 24.8003
69.580084 81.701 24.2733
69.946295 81.534 24.2640
70.312506 81.401 24.7289
70.678717 81.334 25.4540
71.044928 81.337 26.1637
71.411139 81.385 26.6473
71.777350 81.442 26.8379
72.143561 81.477 26.8135
72.509771 81.476 26.7346
72.875982 81.443 26.7614
73.242193 81.396 26.9868
73.608404 81.354 27.4086
73.974615 81.336 27.9395
74.340826 81.349 28.4453
74.707037 81.385 28.7966
75.073248 81.429 28.9161
75.439459 81.462 28.8040
75.805670 81.472 28.5340
76.171881 81.452 28.2192
76.538092 81.410 27.9658
76.904303 81.357 27.8367
77.270514 81.306 27.8411
77.636725 81.269 27.9486
78.002936 81.249 28.1137
78.369147 81.250 28.2933
78.735358 81.267 28.4510
79.101569 81.299 28.5557
79.467780 81.337 28.5840
79.833991 81.375 28.5291
80.200202 81.403 28.4102
80.566413 81.417 28.2696
80.932624 81.417 28.1576
81.298835 81.405 28.1122
81.665046 81.386 28.1476
82.031257 81.366 28.2552
82.397468 81.349 28.4158
82.763679 81.336 28.6073
83.129890 81.328 28.8071
83.496101 81.328 28.9879
83.862311 81.333 29.1186
84.228522 81.342 29.1726
84.594733 81.350 29.1410
84.960944 81.351 29.0386
85.327155 81.343 28.8977
85.693366 81.329 28.7508
86.059577 81.313 28.6143
86.425788 81.297 28.4839
86.791999 81.283 28.3448
87.158210 81.269 28.1895
87.524421 81.251 28.0292
87.890632 81.229 27.8928
88.256843 81.203 27.8120
88.623054 81.178 27.8023
88.989265 81.160 27.8538
89.355476 81.151 27.9347
89.721687 81.150 28.0076
90.087898 81.152 28.0476
90.454109 81.152 28.0522
90.820320 81.147 28.0389
91.186531 81.134 28.0322
91.552742 81.115 28.0491
91.918953 81.093 28.0923
92.285164 81.069 28.1535
92.651375 81.043 28.2244
93.017586 81.015 28.3059
93.383797 80.984 28.4104
93.750008 80.952 28.5526
94.116219 80.925 28.7366
94.482430 80.908 28.9446
94.848641 80.904 29.1379
95.214851 80.914 29.2677
95.581062 80.932 29.2932
95.947273 80.952 29.1971
96.313484 80.966 28.9914
96.679695 80.969 28.7114
97.045906 80.960 28.4025
97.412117 80.940 28.1056
97.778328 80.911 27.8475
98.144539 80.880 27.6393
98.510750 80.847 27.4813
98.876961 80.816 27.3690
99.243172 80.788 27.2979
99.609383 80.763 27.2640
99.975594 80.744 27.2610
100.341805 80.731 27.2775
100.708016 80.724 27.2967
101.074227 80.723 27.3002
101.440438 80.725 27.2729
101.806649 80.727 27.2091
102.172860 80.726 27.1133
102.539071 80.720 26.9986
102.905282 80.708 26.8805
103.271493 80.690 26.7714
103.637704 80.669 26.6761
104.003915 80.646 26.5928
104.370126 80.622 26.5153
104.736337 80.595 26.4391
105.102548 80.566 26.3644
105.468759 80.534 26.2966
105.834970 80.499 26.2448
106.201180 80.462 26.2157
106.567391 80.426 26.2111
106.933602 80.392 26.2256
107.299813 80.363 26.2487
107.666024 80.336 26.2684
108.032235 80.313 26.2766
108.398446 80.291 26.2717
108.764657 80.270 26.2584
109.130868 80.248 26.2455
109.497079 80.226 26.2411
109.863290 80.206 26.2493
110.229501 80.188 26.2679
110.595712 80.173 26.2903
110.961923 80.160 26.3076
111.328134 80.150 26.3135
111.694345 80.139 26.3074
112.060556 80.126 26.2946
112.426767 80.111 26.2853
112.792978 80.094 26.2902
113.159189 80.077 26.3164
113.525400 80.060 26.3643
113.891611 80.046 26.4263
114.257822 80.035 26.4896
114.624033 80.027 26.5397
114.990244 80.022 26.5660
115.356455 80.016 26.5642
115.722666 80.008 26.5383
116.088877 79.997 26.4979
116.455088 79.982 26.4550
116.821299 79.965 26.4198
117.187510 79.947 26.3979
117.553720 79.929 26.3895
117.919931 79.913 26.3901
118.286142 79.898 26.3941
118.652353 79.886 26.3959
119.018564 79.875 26.3926
119.384775 79.865 26.3839
119.750986 79.855 26.3712
120.117197 79.845 26.3573
120.483408 79.835 26.3448
120.849619 79.825 26.3359
121.215830 79.814 26.3315
121.582041 79.804 26.3317
121.948252 79.793 26.3353
122.314463 79.782 26.3404
122.680674 79.771 26.3450
123.046885 79.758 26.3475
123.413096 79.744 26.3480
123.779307 79.727 26.3483
124.145518 79.708 26.3521
124.511729 79.686 26.3639
124.877940 79.662 26.3884
125.244151 79.635 26.4283
125.610362 79.609 26.4838
125.976573 79.582 26.5519
126.342784 79.557 26.6271
126.708995 79.533 26.7023
127.075206 79.511 26.7698
127.441417 79.489 26.8240
127.807628 79.468 26.8613
128.173839 79.447 26.8815
128.540049 79.424 26.8870
128.906260 79.399 26.8824
129.272471 79.373 26.8730
129.638682 79.345 26.8639
130.004893 79.316 26.8591
130.371104 79.287 26.8611
130.737315 79.259 26.8705
131.103526 79.232 26.8863
131.469737 79.208 26.9058
131.835948 79.187 26.9251
132.202159 79.169 26.9398
132.568370 79.154 26.9453
132.934581 79.142 26.9379
133.300792 79.132 26.9152
133.667003 79.124 26.8770
134.033214 79.117 26.8249
134.399425 79.110 26.7621
134.765636 79.103 26.6934
135.131847 79.096 26.6233
135.498058 79.088 26.5564
135.864269 79.079 26.4958
136.230480 79.071 26.4432
136.596691 79.063 26.3984
136.962902 79.055 26.3604
137.329113 79.046 26.3276
137.695324 79.036 26.2996
138.061535 79.026 26.2767
138.427746 79.013 26.2609
138.793957 78.998 26.2543
139.160168 78.981 26.2597
139.526379 78.963 26.2783
139.892589 78.942 26.3102
140.258800 78.921 26.3535
140.625011 78.900 26.4050
140.991222 78.879 26.4604
141.357433 78.857 26.5150
141.723644 78.836 26.5640
142.089855 78.815 26.6029
142.456066 78.794 26.6285
142.822277 78.772 26.6392
143.188488 78.749 26.6348
143.554699 78.724 26.6176
143.920910 78.697 26.5921
144.287121 78.668 26.5643
144.653332 78.637 26.5414
145.019543 78.604 26.5310
145.385754 78.570 26.5400
145.751965 78.536 26.5735
146.118176 78.504 26.6344
146.484387 78.475 26.7221
146.850598 78.449 26.8333
147.216809 78.429 26.9619
147.583020 78.413 27.1003
147.949231 78.402 27.2408
148.315442 78.395 27.3766
148.681653 78.392 27.5024
149.047864 78.390 27.6153
149.414075 78.390 27.7145
149.780286 78.389 27.8005
150.146497 78.387 27.8751
150.512708 78.383 27.9407
150.878918 78.378 27.9993
151.245129 78.369 28.0532
151.611340 78.359 28.1041
151.977551 78.346 28.1535
152.343762 78.331 28.2027
152.709973 78.313 28.2527
